,TimeStamp,Humidity(%),Temp(Â°C)
24,2022-09-14 10:42:28,54,26.6
25,2022-09-14 10:43:28,54,26.6
26,2022-09-14 10:44:37,54,26.5
27,2022-09-14 15:56:47,44,25.5
28,2022-09-14 15:58:14,45,25.5
29,2022-09-14 15:59:23,45,25.4
30,2022-09-14 16:10:45,51,25.1
31,2022-09-14 16:11:53,52,25.1
32,2022-09-14 16:13:03,52,25.1
33,2022-09-14 16:14:11,52,25.1
34,2022-09-14 16:15:18,53,25.2
35,2022-09-14 16:16:28,55,25.1
36,2022-09-14 16:17:36,57,25.3
37,2022-09-14 16:18:44,60,25.3
38,2022-09-14 16:19:53,61,25.3
39,2022-09-14 16:01:38,46,25.3
40,2022-09-14 16:21:00,63,25.4
41,2022-09-14 16:22:08,64,25.6
42,2022-09-14 16:02:47,47,25.2
43,2022-09-14 16:34:52,49,25.8
44,2022-09-14 16:36:02,49,25.7
45,2022-09-14 16:38:10,51,25.9
46,2022-09-14 16:39:19,52,25.9
47,2022-09-14 16:03:53,47,25.2
48,2022-09-14 16:40:28,57,26.0
49,2022-09-14 16:41:40,57,26.0
50,2022-09-14 16:42:50,56,26.0
51,2022-09-14 16:43:57,55,26.1
52,2022-09-14 16:45:05,54,26.2
53,2022-09-14 16:46:19,54,26.2
54,2022-09-14 16:47:27,54,26.2
55,2022-09-14 16:48:36,54,26.3
56,2022-09-14 16:49:46,53,26.1
57,2022-09-14 16:50:53,53,26.2
58,2022-09-14 16:52:02,54,26.2
59,2022-09-14 16:53:13,54,26.1
60,2022-09-14 16:54:25,55,26.2
61,2022-09-14 16:55:33,56,26.2
62,2022-09-14 16:56:43,58,26.2
63,2022-09-14 16:57:52,60,26.3
64,2022-09-14 16:58:58,63,26.3
65,2022-09-14 16:05:00,48,25.1
66,2022-09-14 16:06:09,48,25.0
67,2022-09-14 16:07:19,49,25.0
68,2022-09-14 16:08:27,50,25.1
69,2022-09-14 16:09:38,51,25.0
70,2022-09-14 17:00:07,65,26.4
71,2022-09-14 17:10:33,81,26.6
72,2022-09-14 17:11:41,81,26.7
73,2022-09-14 17:12:50,81,26.7
74,2022-09-14 17:14:08,82,26.7
75,2022-09-14 17:15:17,83,26.8
76,2022-09-14 17:16:25,83,26.8
77,2022-09-14 17:17:35,83,26.7
78,2022-09-14 17:18:42,84,26.8
79,2022-09-14 17:19:50,84,26.8
80,2022-09-14 17:01:17,69,26.6
81,2022-09-14 17:20:59,83,26.8
82,2022-09-14 17:22:09,83,26.9
83,2022-09-14 17:23:17,82,27.0
84,2022-09-14 17:24:25,83,27.1
85,2022-09-14 17:25:32,83,27.2
86,2022-09-14 17:26:38,83,27.2
87,2022-09-14 17:27:50,82,27.2
88,2022-09-14 17:29:01,82,27.3
89,2022-09-14 17:02:24,71,26.6
90,2022-09-14 17:30:09,82,27.4
91,2022-09-14 17:32:30,63,27.1
92,2022-09-14 17:03:34,73,26.6
93,2022-09-14 17:04:42,74,26.7
94,2022-09-14 17:05:50,76,26.6
95,2022-09-14 17:07:06,77,26.6
96,2022-09-14 17:08:14,79,26.8
97,2022-09-14 17:09:24,80,26.6
98,2022-09-14 03:23:42,50,25.1
99,2022-09-14 03:24:35,50,25.0
100,2022-09-14 03:25:47,50,25.1
